date,symbol,expiry,strike,option_type,open,high,low,close,settle_price,underlying_price,open_interest,oi_change,volume
2024-12-02,NIFTY,2024-12-19,25850.0,CE,5.15,6.25,5.15,5.3,5.3,24276.05,1175.0,1175.0,48.0
2024-12-02,NIFTY,2024-12-12,25850.0,CE,2.3,2.45,1.85,2.05,2.05,24276.05,8825.0,-7025.0,4256.0
2024-12-02,NIFTY,2025-02-27,25850.0,CE,0.0,0.0,0.0,276.8,240.25,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-19,25850.0,PE,0.0,0.0,0.0,2168.7,1498.95,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-06-26,16000.0,PE,0.0,0.0,0.0,20.05,0.05,24276.05,50.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,16000.0,PE,2.35,2.75,2.1,2.3,2.3,24276.05,155400.0,-75.0,664.0
2024-12-02,NIFTY,2025-12-24,16000.0,PE,0.0,0.0,0.0,20.2,0.2,24276.05,2250.0,0.0,0.0
2024-12-02,NIFTY,2026-06-25,16000.0,PE,0.0,0.0,0.0,32.4,1.05,24276.05,500.0,0.0,0.0
2024-12-02,NIFTY,2026-12-31,16000.0,CE,0.0,0.0,0.0,6200.0,10374.05,24276.05,50.0,0.0,0.0
2024-12-02,NIFTY,2025-12-24,16000.0,CE,0.0,0.0,0.0,7200.0,9381.3,24276.05,50.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,16000.0,CE,8243.1,8403.8,8191.15,8396.55,8396.55,24276.05,331300.0,-100.0,81.0
2024-12-02,NIFTY,2026-12-31,16000.0,PE,0.0,0.0,0.0,58.45,2.7,24276.05,2400.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,22450.0,CE,0.0,0.0,0.0,1930.5,1867.55,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,22450.0,PE,0.0,0.0,0.0,152.45,29.1,24276.05,200.0,0.0,0.0
2024-12-02,NIFTY,2024-12-05,22300.0,CE,2000.0,2030.0,2000.0,2030.0,1988.4,24276.05,650.0,0.0,2.0
2024-12-02,NIFTY,2024-12-26,22450.0,CE,0.0,0.0,0.0,1661.2,1928.15,24276.05,1375.0,0.0,0.0
2024-12-02,NIFTY,2024-12-19,22450.0,CE,0.0,0.0,0.0,1299.6,1897.15,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,22300.0,PE,0.0,0.0,0.0,105.0,3.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-02-27,22450.0,PE,0.0,0.0,0.0,160.25,56.6,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,22450.0,PE,5.3,6.25,3.35,4.25,4.25,24276.05,8675.0,2850.0,957.0
2024-12-02,NIFTY,2024-12-05,22450.0,CE,1584.25,1841.05,1584.25,1841.05,1841.05,24276.05,150.0,75.0,44.0
2024-12-02,NIFTY,2024-12-26,22300.0,PE,23.05,24.05,16.75,17.35,17.35,24276.05,184700.0,8250.0,9469.0
2024-12-02,NIFTY,2024-12-26,22450.0,PE,27.25,28.3,19.65,20.95,20.95,24276.05,31925.0,4650.0,869.0
2024-12-02,NIFTY,2025-01-30,22300.0,CE,0.0,0.0,0.0,2402.3,2239.7,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,22300.0,CE,0.0,0.0,0.0,1341.45,2107.35,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,24500.0,CE,247.95,324.0,189.0,297.35,297.35,24276.05,3740625.0,349725.0,168026.0
2024-12-02,NIFTY,2025-01-30,24500.0,PE,549.95,578.5,443.75,459.55,459.55,24276.05,878000.0,114775.0,20154.0
2024-12-02,NIFTY,2025-01-30,22100.0,PE,33.05,52.85,33.05,46.4,46.4,24276.05,41900.0,6175.0,658.0
2024-12-02,NIFTY,2024-12-12,22100.0,PE,3.8,3.8,2.15,3.0,3.0,24276.05,53150.0,47625.0,6623.0
2024-12-02,NIFTY,2024-12-19,24500.0,CE,170.0,255.9,135.8,233.4,233.4,24276.05,83775.0,29300.0,8502.0
2024-12-02,NIFTY,2025-12-24,19500.0,CE,0.0,0.0,0.0,6000.0,6144.8,24276.05,1675.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,27250.0,PE,0.0,0.0,0.0,1158.55,2853.5,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,27250.0,CE,3.4,4.05,3.4,3.95,0.2,24276.05,1450.0,800.0,46.0
2024-12-02,NIFTY,2024-12-19,22350.0,PE,0.0,0.0,0.0,61.1,0.4,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,22350.0,PE,57.75,59.25,57.75,58.5,58.5,24276.05,2550.0,900.0,36.0
2024-12-02,NIFTY,2024-12-19,22350.0,CE,0.0,0.0,0.0,1386.2,1996.6,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,21950.0,CE,0.0,0.0,0.0,2409.85,2366.6,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-02-27,22350.0,PE,0.0,0.0,0.0,144.1,48.7,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,21950.0,CE,0.0,0.0,0.0,1729.3,2423.6,24276.05,75.0,0.0,0.0
2024-12-02,NIFTY,2024-12-19,21950.0,PE,0.0,0.0,0.0,26.55,0.05,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,22350.0,PE,22.1,25.8,18.05,18.7,18.7,24276.05,13150.0,3275.0,824.0
